"Div.Name","Sch.Name","Subject","All Students","Asian","Black","Economically Disadvantaged","English Learners","Female","Hispanic","Male","Students with Disabilities","White"
"Washington County ","Valley Institute Elementary","English: Reading",79,NA,NA,79,NA,78,NA,80,37,81
"Washington County ","Valley Institute Elementary","History and Social Sciences",89,NA,NA,89,NA,82,NA,96,55,90
"Washington County ","Valley Institute Elementary","Mathematics",88,NA,NA,89,NA,86,NA,89,58,88
"Washington County ","Valley Institute Elementary","Science",90,NA,NA,92,NA,90,NA,91,67,90
"Warren County ","A.S. Rhodes Elementary","English: Reading",74,NA,NA,56,20,75,46,74,25,78
"Warren County ","A.S. Rhodes Elementary","History and Social Sciences",74,NA,NA,57,NA,80,NA,70,NA,79
"Warren County ","A.S. Rhodes Elementary","Mathematics",74,NA,NA,56,0,72,38,75,38,77
"Warren County ","A.S. Rhodes Elementary","Science",74,NA,NA,46,NA,70,NA,77,NA,76
"Warren County ","Hilda J. Barbour Elementary","English: Reading",80,NA,67,74,25,85,57,75,48,84
"Warren County ","Hilda J. Barbour Elementary","History and Social Sciences",71,NA,NA,61,NA,67,73,76,50,71
"Warren County ","Hilda J. Barbour Elementary","Mathematics",86,NA,67,78,63,90,75,82,57,88
"Warren County ","Hilda J. Barbour Elementary","Science",87,NA,NA,84,NA,88,89,85,44,88
"Warren County ","Warren County Middle School","English: Reading",79,75,79,72,14,83,78,77,48,81
"Warren County ","Warren County Middle School","English: Writing",63,NA,40,56,NA,65,69,62,18,65
"Warren County ","Warren County Middle School","History and Social Sciences",89,NA,100,80,NA,85,88,91,59,89
"Warren County ","Warren County Middle School","Mathematics",82,88,84,74,43,81,72,83,48,83
"Warren County ","Warren County Middle School","Science",79,NA,80,69,NA,79,73,79,38,81
"Warren County ","Warren County Middle","English: Reading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Warren County ","Warren County Middle","Mathematics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Warren County ","Skyline Middle School","English: Reading",69,NA,58,59,13,74,53,64,19,71
"Warren County ","Skyline Middle School","English: Writing",60,NA,58,53,NA,72,60,50,10,59
"Warren County ","Skyline Middle School","History and Social Sciences",69,NA,62,56,NA,72,57,66,19,70
"Warren County ","Skyline Middle School","Mathematics",69,NA,65,59,44,75,62,64,26,71
"Warren County ","Skyline Middle School","Science",69,NA,55,58,NA,67,65,71,24,71
"Warren County ","Skyline High","English: Reading",82,NA,68,67,22,86,47,79,58,89
"Warren County ","Skyline High","English: Writing",75,NA,56,59,11,83,38,67,29,81
"Warren County ","Skyline High","History and Social Sciences",69,86,60,55,44,65,63,73,33,72
"Warren County ","Skyline High","Mathematics",75,NA,50,64,50,81,67,67,53,79
"Warren County ","Skyline High","Science",77,100,63,64,27,78,55,76,30,81
