"Division","School","Year.Percent","Type"
"Bedford County Public Schools","Boonsboro Elementary",59,"Master's Degree"
"Bedford County Public Schools","Boonsboro Elementary",0,"Doctoral Degree"
"Bedford County Public Schools","Forest Elementary",38,"Bachelor's Degree"
"Bedford County Public Schools","Forest Elementary",62,"Master's Degree"
"Bedford County Public Schools","Forest Elementary",0,"Doctoral Degree"
"Bedford County Public Schools","Forest Middle",49,"Bachelor's Degree"
"Bedford County Public Schools","Forest Middle",46,"Master's Degree"
"Bedford County Public Schools","Forest Middle",0,"Doctoral Degree"
"Bedford County Public Schools","Goodview Elementary",56,"Bachelor's Degree"
"Bedford County Public Schools","Goodview Elementary",38,"Master's Degree"
"Bedford County Public Schools","Goodview Elementary",3,"Doctoral Degree"
"Bedford County Public Schools","Huddleston Elementary",50,"Bachelor's Degree"
"Bedford County Public Schools","Huddleston Elementary",42,"Master's Degree"
"Bedford County Public Schools","Huddleston Elementary",0,"Doctoral Degree"
"Bedford County Public Schools","Jefferson Forest High",44,"Bachelor's Degree"
"Bedford County Public Schools","Jefferson Forest High",51,"Master's Degree"
"Bedford County Public Schools","Jefferson Forest High",3,"Doctoral Degree"
"Bedford County Public Schools","Liberty High",42,"Bachelor's Degree"
"Bedford County Public Schools","Liberty High",57,"Master's Degree"
"Bedford County Public Schools","Liberty High",0,"Doctoral Degree"
"Bedford County Public Schools","Liberty Middle",47,"Bachelor's Degree"
"Bedford County Public Schools","Liberty Middle",49,"Master's Degree"
"Bedford County Public Schools","Liberty Middle",2,"Doctoral Degree"
"Bedford County Public Schools","Moneta Elementary",42,"Bachelor's Degree"
"Bedford County Public Schools","Moneta Elementary",54,"Master's Degree"
"Bedford County Public Schools","Moneta Elementary",0,"Doctoral Degree"
"Bedford County Public Schools","Montvale Elementary",42,"Bachelor's Degree"
"Bedford County Public Schools","Montvale Elementary",46,"Master's Degree"
"Bedford County Public Schools","Montvale Elementary",0,"Doctoral Degree"
"Bedford County Public Schools","New London Academy Elementary",41,"Bachelor's Degree"
"Bedford County Public Schools","New London Academy Elementary",55,"Master's Degree"
"Bedford County Public Schools","New London Academy Elementary",0,"Doctoral Degree"
"Bedford County Public Schools","Otter River Elementary",55,"Bachelor's Degree"
"Bedford County Public Schools","Otter River Elementary",40,"Master's Degree"
"Bedford County Public Schools","Otter River Elementary",0,"Doctoral Degree"
"Bedford County Public Schools","Staunton River High",51,"Bachelor's Degree"
"Bedford County Public Schools","Staunton River High",45,"Master's Degree"
"Bedford County Public Schools","Staunton River High",1,"Doctoral Degree"
"Bedford County Public Schools","Staunton River Middle",52,"Bachelor's Degree"
"Bedford County Public Schools","Staunton River Middle",46,"Master's Degree"
"Bedford County Public Schools","Staunton River Middle",0,"Doctoral Degree"
"Bedford County Public Schools","Stewartsville Elementary",50,"Bachelor's Degree"
"Bedford County Public Schools","Stewartsville Elementary",47,"Master's Degree"
"Bedford County Public Schools","Stewartsville Elementary",0,"Doctoral Degree"
"Bedford County Public Schools","Thomas Jefferson Elementary",56,"Bachelor's Degree"
"Bedford County Public Schools","Thomas Jefferson Elementary",42,"Master's Degree"
"Bedford County Public Schools","Thomas Jefferson Elementary",0,"Doctoral Degree"
"Bland County Public Schools","Bland County Elementary ",69,"Bachelor's Degree"
"Bland County Public Schools","Bland County Elementary ",29,"Master's Degree"
"Bland County Public Schools","Bland County Elementary ",0,"Doctoral Degree"
"Bland County Public Schools","Bland County High",58,"Bachelor's Degree"
"Bland County Public Schools","Bland County High",35,"Master's Degree"
"Bland County Public Schools","Bland County High",3,"Doctoral Degree"
"Botetourt County Public Schools","Breckinridge Elementary",48,"Bachelor's Degree"
"Botetourt County Public Schools","Breckinridge Elementary",48,"Master's Degree"
"Botetourt County Public Schools","Breckinridge Elementary",0,"Doctoral Degree"
"Botetourt County Public Schools","Buchanan Elementary",30,"Bachelor's Degree"
"Botetourt County Public Schools","Buchanan Elementary",70,"Master's Degree"
"Botetourt County Public Schools","Buchanan Elementary",0,"Doctoral Degree"
"Botetourt County Public Schools","Central Academy Middle",63,"Bachelor's Degree"
"Botetourt County Public Schools","Central Academy Middle",35,"Master's Degree"
"Botetourt County Public Schools","Central Academy Middle",3,"Doctoral Degree"
"Botetourt County Public Schools","Cloverdale Elementary",50,"Bachelor's Degree"
"Botetourt County Public Schools","Cloverdale Elementary",46,"Master's Degree"
"Botetourt County Public Schools","Cloverdale Elementary",0,"Doctoral Degree"
"Botetourt County Public Schools","Colonial Elementary",55,"Bachelor's Degree"
"Botetourt County Public Schools","Colonial Elementary",45,"Master's Degree"
"Botetourt County Public Schools","Colonial Elementary",0,"Doctoral Degree"
"Botetourt County Public Schools","Eagle Rock Elementary",44,"Bachelor's Degree"
"Botetourt County Public Schools","Eagle Rock Elementary",56,"Master's Degree"
"Botetourt County Public Schools","Eagle Rock Elementary",0,"Doctoral Degree"
"Botetourt County Public Schools","Greenfield Elementary",43,"Bachelor's Degree"
"Botetourt County Public Schools","Greenfield Elementary",57,"Master's Degree"
"Botetourt County Public Schools","Greenfield Elementary",0,"Doctoral Degree"
"Botetourt County Public Schools","James River High",37,"Bachelor's Degree"
"Botetourt County Public Schools","James River High",57,"Master's Degree"
"Botetourt County Public Schools","James River High",0,"Doctoral Degree"
"Botetourt County Public Schools","Lord Botetourt High",48,"Bachelor's Degree"
"Botetourt County Public Schools","Lord Botetourt High",48,"Master's Degree"
"Botetourt County Public Schools","Lord Botetourt High",1,"Doctoral Degree"
"Botetourt County Public Schools","Read Mountain Middle",43,"Bachelor's Degree"
"Botetourt County Public Schools","Read Mountain Middle",50,"Master's Degree"
"Botetourt County Public Schools","Read Mountain Middle",0,"Doctoral Degree"
"Botetourt County Public Schools","Troutville Elementary",58,"Bachelor's Degree"
"Botetourt County Public Schools","Troutville Elementary",38,"Master's Degree"
"Botetourt County Public Schools","Troutville Elementary",0,"Doctoral Degree"
"Bristol City Public Schools","Highland View Elementary",56,"Bachelor's Degree"
"Bristol City Public Schools","Highland View Elementary",44,"Master's Degree"
"Bristol City Public Schools","Highland View Elementary",0,"Doctoral Degree"
"Bristol City Public Schools","Joseph Van Pelt Elementary",66,"Bachelor's Degree"
"Bristol City Public Schools","Joseph Van Pelt Elementary",34,"Master's Degree"
"Bristol City Public Schools","Joseph Van Pelt Elementary",0,"Doctoral Degree"
"Bristol City Public Schools","Stonewall Jackson Elementary",50,"Bachelor's Degree"
"Bristol City Public Schools","Stonewall Jackson Elementary",40,"Master's Degree"
"Bristol City Public Schools","Stonewall Jackson Elementary",5,"Doctoral Degree"
"Bristol City Public Schools","Virginia High",50,"Bachelor's Degree"
"Bristol City Public Schools","Virginia High",44,"Master's Degree"
"Bristol City Public Schools","Virginia High",2,"Doctoral Degree"
"Bristol City Public Schools","Virginia Middle",48,"Bachelor's Degree"
"Bristol City Public Schools","Virginia Middle",53,"Master's Degree"
"Bristol City Public Schools","Virginia Middle",0,"Doctoral Degree"
"Bristol City Public Schools","Washington-Lee Elementary",68,"Bachelor's Degree"
"Bristol City Public Schools","Washington-Lee Elementary",21,"Master's Degree"
"Bristol City Public Schools","Washington-Lee Elementary",5,"Doctoral Degree"
"Brunswick County Public Schools","Brunswick High",39,"Bachelor's Degree"
"Brunswick County Public Schools","Brunswick High",39,"Master's Degree"
"Brunswick County Public Schools","Brunswick High",4,"Doctoral Degree"
"Brunswick County Public Schools","James S. Russell Middle",42,"Bachelor's Degree"
"Brunswick County Public Schools","James S. Russell Middle",47,"Master's Degree"
"Brunswick County Public Schools","James S. Russell Middle",8,"Doctoral Degree"
"Brunswick County Public Schools","Meherrin Powellton Elementary",50,"Bachelor's Degree"
"Brunswick County Public Schools","Meherrin Powellton Elementary",42,"Master's Degree"
"Brunswick County Public Schools","Meherrin Powellton Elementary",4,"Doctoral Degree"
"Brunswick County Public Schools","Red Oak-Sturgeon Elementary",20,"Bachelor's Degree"
"Brunswick County Public Schools","Red Oak-Sturgeon Elementary",75,"Master's Degree"
"Brunswick County Public Schools","Red Oak-Sturgeon Elementary",5,"Doctoral Degree"
"Brunswick County Public Schools","Totaro Elementary",22,"Bachelor's Degree"
"Brunswick County Public Schools","Totaro Elementary",70,"Master's Degree"
"Brunswick County Public Schools","Totaro Elementary",4,"Doctoral Degree"
"Buchanan County Public Schools","Council Elementary/Middle",58,"Bachelor's Degree"
"Buchanan County Public Schools","Council Elementary/Middle",42,"Master's Degree"
"Buchanan County Public Schools","Council Elementary/Middle",0,"Doctoral Degree"
"Buchanan County Public Schools","Council High ",37,"Bachelor's Degree"
"Buchanan County Public Schools","Council High ",53,"Master's Degree"
"Buchanan County Public Schools","Council High ",5,"Doctoral Degree"
"Buchanan County Public Schools","Grundy High",50,"Bachelor's Degree"
"Buchanan County Public Schools","Grundy High",47,"Master's Degree"
"Buchanan County Public Schools","Grundy High",0,"Doctoral Degree"
"Buchanan County Public Schools","Hurley Elementary/Middle",50,"Bachelor's Degree"
"Buchanan County Public Schools","Hurley Elementary/Middle",48,"Master's Degree"
"Buchanan County Public Schools","Hurley Elementary/Middle",0,"Doctoral Degree"
"Buchanan County Public Schools","Hurley High",48,"Bachelor's Degree"
"Buchanan County Public Schools","Hurley High",52,"Master's Degree"
"Buchanan County Public Schools","Hurley High",0,"Doctoral Degree"
"Buchanan County Public Schools","Riverview Elementary/Middle",64,"Bachelor's Degree"
"Buchanan County Public Schools","Riverview Elementary/Middle",33,"Master's Degree"
"Buchanan County Public Schools","Riverview Elementary/Middle",0,"Doctoral Degree"
"Buchanan County Public Schools","Twin Valley Elementary/Middle",59,"Bachelor's Degree"
"Buchanan County Public Schools","Twin Valley Elementary/Middle",38,"Master's Degree"
"Buchanan County Public Schools","Twin Valley Elementary/Middle",0,"Doctoral Degree"
"Buchanan County Public Schools","Twin Valley High",57,"Bachelor's Degree"
"Buchanan County Public Schools","Twin Valley High",43,"Master's Degree"
"Buchanan County Public Schools","Twin Valley High",0,"Doctoral Degree"
"Buckingham County Public Schools","Buckingham Co Elementary",60,"Bachelor's Degree"
"Buckingham County Public Schools","Buckingham Co Elementary",40,"Master's Degree"
"Buckingham County Public Schools","Buckingham Co Elementary",0,"Doctoral Degree"
"Buckingham County Public Schools","Buckingham Co Primary",69,"Bachelor's Degree"
"Buckingham County Public Schools","Buckingham Co Primary",31,"Master's Degree"
"Buckingham County Public Schools","Buckingham Co Primary",0,"Doctoral Degree"
"Buckingham County Public Schools","Buckingham County High",39,"Bachelor's Degree"
"Buckingham County Public Schools","Buckingham County High",57,"Master's Degree"
"Buckingham County Public Schools","Buckingham County High",0,"Doctoral Degree"
"Buckingham County Public Schools","Buckingham County Middle",45,"Bachelor's Degree"
"Buckingham County Public Schools","Buckingham County Middle",55,"Master's Degree"
"Buckingham County Public Schools","Buckingham County Middle",0,"Doctoral Degree"
"Buena Vista City Public Schools","Enderly Heights Elementary",44,"Bachelor's Degree"
"Buena Vista City Public Schools","Enderly Heights Elementary",56,"Master's Degree"
"Buena Vista City Public Schools","Enderly Heights Elementary",0,"Doctoral Degree"
"Buena Vista City Public Schools","F.W. Kling Jr. Elementary",52,"Bachelor's Degree"
"Buena Vista City Public Schools","F.W. Kling Jr. Elementary",48,"Master's Degree"
"Buena Vista City Public Schools","F.W. Kling Jr. Elementary",0,"Doctoral Degree"
"Buena Vista City Public Schools","Parry McCluer High",36,"Bachelor's Degree"
"Buena Vista City Public Schools","Parry McCluer High",56,"Master's Degree"
"Buena Vista City Public Schools","Parry McCluer High",0,"Doctoral Degree"
"Buena Vista City Public Schools","Parry McCluer Middle",47,"Bachelor's Degree"
"Buena Vista City Public Schools","Parry McCluer Middle",47,"Master's Degree"
"Buena Vista City Public Schools","Parry McCluer Middle",7,"Doctoral Degree"
"Campbell County Public Schools","Altavista Elementary",57,"Bachelor's Degree"
"Campbell County Public Schools","Altavista Elementary",43,"Master's Degree"
"Campbell County Public Schools","Altavista Elementary",0,"Doctoral Degree"
"Campbell County Public Schools","Altavista High",47,"Bachelor's Degree"
"Campbell County Public Schools","Altavista High",49,"Master's Degree"
"Campbell County Public Schools","Altavista High",2,"Doctoral Degree"
"Campbell County Public Schools","Brookneal Elementary",57,"Bachelor's Degree"
"Campbell County Public Schools","Brookneal Elementary",43,"Master's Degree"
"Campbell County Public Schools","Brookneal Elementary",0,"Doctoral Degree"
"Campbell County Public Schools","Brookville High",62,"Bachelor's Degree"
"Campbell County Public Schools","Brookville High",34,"Master's Degree"
"Campbell County Public Schools","Brookville High",0,"Doctoral Degree"
"Campbell County Public Schools","Brookville Middle",56,"Bachelor's Degree"
"Campbell County Public Schools","Brookville Middle",44,"Master's Degree"
"Campbell County Public Schools","Brookville Middle",0,"Doctoral Degree"
"Campbell County Public Schools","Concord Elementary",48,"Bachelor's Degree"
"Campbell County Public Schools","Concord Elementary",52,"Master's Degree"
"Campbell County Public Schools","Concord Elementary",0,"Doctoral Degree"
"Campbell County Public Schools","Leesville Road Elementary",60,"Bachelor's Degree"
"Campbell County Public Schools","Leesville Road Elementary",40,"Master's Degree"
"Campbell County Public Schools","Leesville Road Elementary",0,"Doctoral Degree"
"Campbell County Public Schools","Rustburg Elementary",52,"Bachelor's Degree"
"Campbell County Public Schools","Rustburg Elementary",48,"Master's Degree"
"Campbell County Public Schools","Rustburg Elementary",0,"Doctoral Degree"
